"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","25","B06WVBRCJ4","B07GR3S1RR","19.29","48.97","46.07","44.57","36.83","23.67","7days"
"happilo dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","29","B01LZ5DFW2","B01LY6B085","66.23","95.51","92.96","15.53","50.93","11.84","7days"
"black raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","32","B07GR346FX","B01LZH17BR","20.12","37.43","32.43","22.62","43.85","26.52","7days"
"kismis","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","37","B06WVBRCJ4","B08487YGZQ","21.54","40.63","38.40","54.29","47.74","61.79","7days"
"kismis 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","60","B08F498VV4","B07GR82XJR","21.76","43.98","38.36","118.79","55.04","42.28","7days"
"munakka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","71","B08R8SSF3Z","B074Y88C4X","12.55","10.52","9.13","34.10","40.71","18.35","7days"
"kishmish","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","81","B01LZGVQV4","B07GR3S1RR","18.53","16.64","18.60","17.59","36.69","27.10","7days"
"raisins 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","82","B06WVBRCJ4","B08487YGZQ","14.76","41.12","38.85","57.46","42.33","20.09","7days"
"fruits in fresh all fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","83","B07BG7LBMS","B0992MKQ9V","9.83","26.03","22.60","0.00","9.64","0.00","7days"
"kismis 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","5K-10K","92","B06WVBRCJ4","B07GR3S1RR","18.58","25.85","25.20","106.97","51.33","26.40","7days"
"raisin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","5K-10K","127","B06WVBRCJ4","B07GR3S1RR","19.02","45.99","42.34","39.19","35.92","234.95","7days"
"black raisins seedless","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","5K-10K","131","B08JR78WB7","B08JR78WB7","18.75","37.37","30.12","12.84","52.57","38.67","7days"
"grapes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","5K-10K","144","B07MM5S7V6","B0BBH9L6Y9","3.59","0.24","0.23","18.05","8.31","3.98","7days"
"dry grapes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","5K-10K","152","B08NJKQC4C","B07GR3S1RR","14.30","44.32","39.90","14.39","43.49","13.07","7days"
"raisins 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","5K-10K","154","B07GR82XJR","B07GR82XJR","18.62","46.27","40.67","48.09","51.15","228.45","7days"
"kishmish 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","204","B011EFYNG6","B07GR3S1RR","24.55","16.22","16.80","43.47","53.16","24.63","7days"
"kismis 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","205","B01LZGVQV4","B08487YGZQ","17.57","37.71","36.22","41.29","54.79","24.68","7days"
"raisins 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","207","B01LZGVQV4","B0758JGNHN","22.50","49.39","45.81","45.39","57.21","46.18","7days"
"munakka dry fruits 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","213","B075X2V9VB","B08C5HH177","17.68","6.72","6.18","0.00","40.87","32.98","7days"
"kishmish 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","219","B08VGDWJRM","B07GR82XJR","17.84","29.50","27.14","11.95","50.27","21.72","7days"
"amazon brand - vedaka","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","220","B07GQRWYNP","B07GR82XJR","2.31","0.00","0.00","0.00","2.88","0.00","7days"
"munakka 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","266","B07CN8Z9RZ","B0758JGNHN","20.81","17.24","14.60","0.00","43.99","20.00","7days"
"black kishmish","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","276","B09416T9PH","B01LZH17BR","24.08","23.14","21.41","14.25","53.51","35.34","7days"
"chilgoza","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","286","B08P9SQ8RY","B01H8Y2UKS","0.23","0.00","0.00","0.00","0.00","0.00","7days"
"raisins 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","297","B07GR82XJR","B07GR82XJR","16.54","47.04","41.59","109.81","48.14","110.80","7days"
"kishmish in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","304","B078HC2HMP","B07GR3S1RR","20.26","35.29","33.94","12.50","4.45","0.00","7days"
"black grapes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","305","B08HV6RK3J","B01LZH17BR","19.35","23.52","20.17","24.75","53.65","8.04","7days"
"happilo raisin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","306","B08487YGZQ","B08487YGZQ","61.40","87.83","84.68","13.82","53.48","13.71","7days"
"black resins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","310","B07GR346FX","B01LZH17BR","25.34","20.32","17.81","16.23","53.82","81.06","7days"
"black raisin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","343","B08JR78WB7","B01LZH17BR","14.14","35.92","31.23","15.24","40.32","20.75","7days"
"green raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","357","B01LZGVQV4","B08487YGZQ","24.13","43.83","40.18","27.93","50.78","21.44","7days"
"kishmish 250 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","362","B01LZGVQV4","B07GRBFFMR","23.19","14.90","16.29","34.83","56.77","24.15","7days"
"kissmiss","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","365","B01LZGVQV4","B07GR3S1RR","16.11","29.90","30.28","7.76","21.66","0.00","7days"
"black raisins with seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","382","B08HV6RK3J","B01LZH17BR","15.28","11.90","9.00","95.17","40.85","26.37","7days"
"kismis 500gm fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","384","B079L74PNZ","B08487YGZQ","17.63","32.53","31.54","26.32","5.72","0.00","7days"
"munakka 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","385","B07WC9K48P","B0758J6W7D","12.89","23.00","19.88","39.33","41.31","13.26","7days"
"kismis 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","390","B08VGDWJRM","B07GR82XJR","21.06","38.13","35.72","167.26","54.76","17.43","7days"
"seedless black raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","411","B0758J6W7D","B08JR78WB7","21.26","38.74","33.38","9.87","53.29","0.00","7days"
"munaka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","461","B07WC9KBF9","B08JR78WB7","12.64","9.33","8.15","29.62","38.88","0.00","7days"
"rasins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","466","B06WVBRCJ4","B08487YGZQ","18.15","0.00","0.00","0.00","0.00","0.00","7days"
"resins dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","468","B08487YGZQ","B07GR82XJR","21.08","11.21","14.20","31.23","41.65","46.21","7days"
"black raisins 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","473","B09416T9PH","B08JR78WB7","27.30","58.00","45.21","55.39","50.49","13.30","7days"
"dry grapes 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","484","B08F498VV4","B07GR82XJR","21.07","25.73","23.40","21.12","56.53","0.00","7days"
"amazon fresh fruits and vegetables","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","500","B07GQVNVV8","B08F498VV4","28.33","22.90","15.41","32.68","18.04","0.00","7days"
"black kismis","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","506","B07GR346FX","B01LZH17BR","16.84","22.56","20.76","20.85","48.02","14.85","7days"
"kismish","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","569","B01LZGVQV4","B07GR3S1RR","20.43","34.04","33.24","0.00","39.75","0.00","7days"
"rasin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","572","B08487YGZQ","B01LZGVQV4","18.51","39.73","38.45","14.48","18.96","0.00","7days"
"kismis 1_kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","578","B08F498VV4","B07GR82XJR","21.45","32.92","29.06","0.00","49.39","31.57","7days"
"black grapes dry fruits 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","583","B08HV6RK3J","B01LZH17BR","25.40","14.97","14.16","39.64","57.88","0.00","7days"
"dry grapes 500gms","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","585","B06WVBRCJ4","B0758JGNHN","22.30","28.00","26.67","11.99","57.10","30.02","7days"
"manuka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","587","B08HV6RK3J","B07GR3S1RR","16.67","5.91","4.74","10.54","43.94","13.07","7days"
"kismiss","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","602","B06WVBRCJ4","B08487YGZQ","21.33","0.00","0.00","0.00","0.00","0.00","7days"
"black dry grapes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","615","B08HV6RK3J","B01LZH17BR","21.64","30.18","27.61","13.03","57.80","0.00","7days"
"raisins black","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","632","B09MK975MF","B01LZH17BR","20.83","33.02","30.11","25.25","57.35","8.02","7days"
"happilo raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","655","B08487YGZQ","B01LZGVQV4","56.29","74.80","71.68","9.88","43.44","16.84","7days"
"grosery shopping","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","673","B01LZ5DPXD","B01LPY9XY8","17.41","12.93","9.64","0.00","33.86","0.00","7days"
"rasin 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","694","B08C8HDQST","B07GR82XJR","12.11","20.57","17.93","8.69","20.04","2.04","7days"
"happilo black raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","707","B08JR78WB7","B08JR78WB7","41.20","79.47","74.11","15.94","31.82","0.00","7days"
"dry fruits gift box","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","743","B07XQ8QLML","B0BBDJMLYR","7.28","2.36","4.16","0.00","10.62","0.00","7days"
"kismi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","808","B08HM5N8G4","B09RPF8RR4","27.09","0.00","0.00","0.00","55.56","0.00","7days"
"munnaka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","819","B08R8SSF3Z","B08RSL9582","11.51","0.00","0.00","0.00","0.00","0.00","7days"
"resins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","825","B09Y8RWY76","B07GR82XJR","17.58","5.31","5.46","0.00","39.31","15.40","7days"
"dry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","839","B08P1FLDB8","B0BBDP8GR2","23.24","15.13","13.84","0.00","66.51","0.00","7days"
"organic raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","871","B08F498VV4","B08487YGZQ","11.09","41.51","38.85","0.00","41.03","0.00","7days"
"raisen","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","899","B06WVBRCJ4","B07GRBFFMR","15.45","15.42","16.97","0.94","18.24","0.00","7days"
"munakka dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","904","B07WC9KBF9","B08RSL9582","15.44","20.03","18.02","0.00","36.55","0.00","7days"
"anjeera","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","908","B08V6VXB7T","B09TJNFYQK","12.82","10.73","8.33","21.20","38.86","0.00","7days"
"happilo dry fruits barfi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","913","B0758J61YD","B0BGJGV2XX","82.71","0.79","0.72","0.00","40.20","0.00","7days"
"black raisins 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","921","B09416T9PH","B07GR82XJR","23.54","50.56","38.35","0.00","53.36","0.00","7days"
"raisins in fresh 200gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","936","B09GNSFRVC","B07GR3S1RR","22.46","39.42","33.39","34.44","6.88","2.12","7days"
"munnaka 500gm best quality","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","991","B08CDLCNKD","B07RJXW87Z","19.09","0.00","0.00","0.00","0.00","0.00","7days"
"golden raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","997","B08YXNXR5H","B07H1C7MCF","14.46","35.54","33.91","51.34","49.04","0.00","7days"
"black raisins 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","998","B01LZH17BR","B07GR346FX","31.20","34.83","31.08","18.76","51.25","6.64","7days"
"green kishmish","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1001","B01LZGVQV4","B08487YGZQ","25.64","31.38","26.34","48.58","51.52","0.00","7days"
"nutri organics","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1030","B08F498VV4","B09K1WQMN8","23.95","13.37","9.36","10.94","18.44","0.00","7days"
"dry black grapes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1034","B07GR346FX","B07GR346FX","29.18","24.69","19.83","31.74","54.20","0.00","7days"
"khubani dry fruit 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1044","B08HV4YY5W","B07FLPZ6T7","15.65","2.84","2.19","0.00","54.71","0.00","7days"
"munakka 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1060","B075X2V9VB","B07GR82XJR","13.06","3.97","4.71","0.00","43.89","7.01","7days"
"kismis 250 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1066","B01LZGVQV4","B08487YGZQ","23.12","36.87","35.68","12.91","15.29","0.00","7days"
"dried grapes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1107","B07GR82XJR","B01LZH17BR","21.98","45.21","41.67","11.95","52.68","9.60","7days"
"dry grapes 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1112","B01LZGVQV4","B08487YGZQ","29.10","28.46","27.24","31.83","56.95","0.00","7days"
"sultanas dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1121","B07WC9KBF9","B01LPYAB9O","19.68","10.14","9.58","0.00","47.37","0.00","7days"
"kishmis","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1154","B01LZGVQV4","B0758JGNHN","17.59","35.97","34.19","24.24","50.24","9.18","7days"
"black kismis 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1159","B09416T9PH","B01LZH17BR","26.53","39.27","29.30","0.00","53.88","12.45","7days"
"raisins 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1211","B07GRBFFMS","B07GRBFFMR","13.24","39.78","37.74","0.00","37.50","1.88","7days"
"chilgoze","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1226","B08RSQ5BPC","B08P9SQ8RY","0.12","0.00","0.00","0.00","0.00","0.00","7days"
"anjer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1253","B0758D65V3","B08H2FHXQN","15.13","6.78","5.46","0.00","6.63","0.00","7days"
"kismis 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1266","B07GRBFFMS","B07GRBFFMR","20.79","21.70","24.25","0.00","45.27","0.00","7days"
"vedaka raisins","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1301","B07GR3S1RR","B07GR82XJR","9.34","31.05","30.97","4.79","26.61","0.00","7days"
"black raisins dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1319","B078HCYRYW","B01LZH17BR","26.15","41.39","39.06","20.38","15.36","0.00","7days"
"raisin 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1329","B06WVBRCJ4","B0758JGNHN","14.35","37.13","35.99","12.64","41.85","0.00","7days"
"dry raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1337","B06WVBRCJ4","B08487YGZQ","21.71","52.94","47.24","162.53","50.21","0.00","7days"
"kajju","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1367","B01LX75MZS","B07GQW1HHN","19.02","22.97","24.87","0.00","46.43","17.94","7days"
"happilo raisins 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1402","B08487YGZQ","B08487YGZQ","45.91","60.39","60.57","19.78","43.58","0.00","7days"
"green raisins 500 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1414","B08R2X1W15","B08487YGZQ","21.27","56.46","52.81","27.35","56.83","0.00","7days"
"kissmiss250","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1416","B01LZGVQV4","B0758D1ZGX","10.86","43.08","40.90","0.00","21.00","0.00","7days"
"kishmish 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1457","B08F498VV4","B07GR82XJR","16.58","24.79","25.56","0.00","52.07","38.24","7days"
"black resin seedless","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1487","B0758J6W7D","B01LZH17BR","21.08","24.03","22.16","12.75","58.06","2.83","7days"
"kali kishmish","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1499","B08W461PXG","B01LZH17BR","17.08","20.53","16.17","42.08","54.20","0.00","7days"
"dry grapes black raisin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1503","B08NJKQC4C","B01LZH17BR","24.04","45.97","42.61","8.62","56.63","0.00","7days"
"black seedless raisin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1508","B09416T9PH","B01LZH17BR","19.80","43.59","39.36","68.98","46.69","0.00","7days"
"kishmish 1_kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1550","B07GR82XJR","B07GR82XJR","16.86","26.76","27.56","4.10","49.89","0.00","7days"
"raisin black","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1558","B07GR346FX","B08JR78WB7","20.41","36.16","31.60","0.00","51.03","0.00","7days"
"raisin 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1566","B09QG4B5M5","B08487YGZQ","14.71","43.34","31.37","51.31","48.45","0.00","7days"
"chilgoz","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1573","B08P9SQ8RY","B01H8Y2UKS","0.04","0.00","0.00","0.00","0.00","0.00","7days"
"black current","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1582","B09P6DDLV9","B07GR346FX","8.18","3.31","3.47","0.00","50.58","0.00","7days"
"afghani raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1626","B09BVKFQRC","B08PDDM6L6","28.36","50.23","40.24","13.43","46.15","10.61","7days"
"kismis black","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1627","B09M8CS2W1","B01LZH17BR","24.65","27.69","24.93","13.68","53.63","0.00","7days"
"tata raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1638","B0B8CXKWVB","B09GNSFRVC","13.59","32.41","31.35","0.00","25.92","0.00","7days"
"kissmiss500","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1652","B07GR3S1RR","B01LPYAB9O","16.14","21.81","20.78","0.00","24.86","0.00","7days"
"black manuka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1680","B07GR346FX","B01M23QPIU","16.44","13.70","12.58","4.94","54.83","0.00","7days"
"munakka 250 gm with seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1697","B01LPYAB9O","B07GRBFFMR","27.20","37.46","37.54","0.00","50.00","0.00","7days"
"black munakka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1730","B08HV6RK3J","B01LZH17BR","18.95","25.80","22.68","12.09","56.70","0.00","7days"
"happilo kishmish","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1740","B08487YGZQ","B08487YGZQ","72.02","28.79","28.83","1.64","59.90","20.62","7days"
"dry fruits raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1745","B09GNSFRVC","B08487YGZQ","24.88","49.77","44.36","15.37","49.82","0.00","7days"
"zoff raisins 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1815","B0758JGNHN","B0758D1ZGX","26.95","51.94","45.98","0.00","57.01","0.00","7days"
"black resin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1834","B09S9ZGZ9M","B01LZH17BR","24.56","21.61","20.25","7.09","57.66","0.00","7days"
"nutri organics dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1856","B08F498VV4","B08JTBYKDW","20.94","11.26","9.88","0.00","15.58","0.00","7days"
"kissmiss pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1870","B01LZGVQV4","B01LPYAB9O","35.77","41.43","38.52","6.76","42.76","0.00","7days"
"premium dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1889","B09QGTVT5B","B01LZ5DFW2","40.53","20.75","20.00","21.07","57.86","0.00","7days"
"kismis 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1910","B07GR82XJR","B07GR82XJR","19.87","40.30","39.47","71.21","53.59","0.00","7days"
"happilo dry fruits combo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1911","B0758D1ZFP","B0992MKQ9V","83.19","31.39","24.00","0.00","51.25","0.00","7days"
"amazon fresh grocery items all","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1922","B07KXGFGSS","B07MDK6FQR","4.41","1.84","4.08","0.00","8.31","0.00","7days"
"organic black raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1927","B08HV6RK3J","B01LZH17BR","12.55","31.67","26.64","89.40","38.94","0.00","7days"
"black raisins 500 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1954","B08HV6RK3J","B08JR78WB7","16.58","47.83","42.18","9.16","53.71","0.00","7days"
"black kishmish 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1966","B08JR78WB7","B01LZH17BR","24.22","24.44","21.26","0.00","57.33","0.00","7days"
"dry fruits black raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1985","B08HV6RK3J","B01LZH17BR","18.32","31.10","28.76","0.00","52.96","0.00","7days"
"happilo kishmish 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2033","B08487YGZQ","B08487YGZQ","45.46","56.21","49.75","24.93","57.38","28.05","7days"
"raisins 200gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2034","B07GRBFFMR","B0758JGNHN","17.38","39.86","32.66","74.59","50.00","0.00","7days"
"happilo dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2061","B01LZ5DFW2","B01LY6B085","72.56","93.92","91.13","71.77","57.76","0.00","7days"
"happilo black raisins 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2073","B01LZH17BR","B08JR78WB7","28.67","75.70","65.31","62.39","33.58","0.00","7days"
"organic kishmish","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2094","B08F498VV4","B0758D1ZGX","20.32","44.00","30.13","0.00","45.42","0.00","7days"
"black grapes dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2099","B09416T9PH","B01LZH17BR","18.77","25.00","23.11","18.09","54.31","0.00","7days"
"black grapes 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2130","B09416T9PH","B01M23QPIU","17.66","21.55","17.23","0.00","56.90","0.00","7days"
"munkka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2140","B08R8SSF3Z","B01LPYAB9O","13.11","0.00","0.00","0.00","0.00","0.00","7days"
"premium raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2145","B01M23QPIU","B08487YGZQ","24.71","36.88","31.98","0.00","49.49","0.00","7days"
"seedless raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2163","B09GNSFRVC","B08487YGZQ","19.13","50.00","32.86","37.37","47.21","9.20","7days"
"dried black raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2176","B01LZH17BR","B08JR78WB7","20.00","41.52","36.79","33.25","58.59","0.00","7days"
"sweet amla candy dry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2184","B09RW3Q8W6","B093CJKKMR","8.80","0.00","0.00","0.00","33.67","0.00","7days"
"long raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2219","B08R2X1W15","B08PDDM6L6","18.45","21.90","23.44","0.00","45.32","0.00","7days"
"seedless black raisins 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2243","B09416T9PH","B01LZH17BR","16.65","69.08","52.27","0.00","58.97","0.00","7days"
"kiss miss","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","2264","B08487YGZQ","B07GR3S1RR","23.39","21.66","26.32","0.00","22.89","0.00","7days"
