"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","25","B06WVBRCJ4","B07GR3S1RR","19.59","51.49","48.60","46.24","37.90","27.51","7days"
"happilo dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","29","B01LZ5DFW2","B01LY6B085","67.73","97.06","94.82","15.74","54.35","15.81","7days"
"black raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","32","B0758J6W7D","B01LZH17BR","21.00","37.79","32.82","21.64","45.07","26.36","7days"
"kismis","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","37","B06WVBRCJ4","B08487YGZQ","21.92","41.23","38.99","57.69","48.64","86.35","7days"
"kismis 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","61","B08F498VV4","B07GR82XJR","23.31","47.21","40.94","157.39","56.09","75.80","7days"
"munakka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","70","B08R8SSF3Z","B01LZH17BR","12.81","13.00","11.21","30.59","40.44","17.83","7days"
"kishmish","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","83","B01LZGVQV4","B07GR3S1RR","19.05","18.43","19.99","19.32","37.83","21.66","7days"
"raisins 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","84","B06WVBRCJ4","B08487YGZQ","14.89","41.73","39.31","57.74","43.57","21.93","7days"
"fruits in fresh all fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","10K-50K","86","B07BG7LBMS","B0758D65V3","9.95","30.97","25.63","50.29","10.18","0.00","7days"
"kismis 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","5K-10K","93","B06WVBRCJ4","B07GR3S1RR","19.63","25.25","25.02","110.36","52.18","26.34","7days"
"black raisins seedless","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","5K-10K","121","B08JR78WB7","B08JR78WB7","19.69","39.84","32.04","14.24","53.52","36.73","7days"
"raisin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","5K-10K","129","B06WVBRCJ4","B07GR3S1RR","18.87","48.70","44.73","54.63","37.24","207.48","7days"
"grapes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","5K-10K","149","B07MM5S7V6","B0BBH9L6Y9","3.82","0.27","0.26","18.05","7.49","3.98","7days"
"raisins 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","5K-10K","151","B07GR82XJR","B07GR82XJR","18.97","47.92","41.89","58.07","50.62","193.13","7days"
"fresh fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","158","B07BG7LBMS","B09F6QF5JQ","4.95","14.66","12.70","0.00","10.38","0.00","7days"
"dry grapes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","168","B08NJKQC4C","B07GR3S1RR","14.59","42.65","38.80","12.70","44.05","14.85","7days"
"raisins 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","207","B01LZGVQV4","B0758JGNHN","23.15","50.47","46.93","50.18","58.14","56.25","7days"
"kismis 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","210","B01LZGVQV4","B08487YGZQ","19.00","37.73","36.55","40.20","57.28","40.01","7days"
"munakka dry fruits 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","214","B075X2V9VB","B01LZH17BR","18.42","9.23","7.85","69.94","40.65","33.05","7days"
"kishmish 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","216","B011EFYNG6","B07GR3S1RR","26.01","18.58","18.56","42.21","56.83","34.77","7days"
"amazon brand - vedaka","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","218","B07GQRWYNP","B07GR82XJR","2.70","0.00","0.00","0.00","4.21","0.00","7days"
"kishmish 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","221","B08VGDWJRM","B07GR82XJR","18.83","30.16","27.61","12.22","51.57","21.40","7days"
"munakka 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","264","B07CN8Z9RZ","B0758JGNHN","21.15","17.65","15.17","56.35","43.80","14.42","7days"
"black kishmish","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","277","B09416T9PH","B01LZH17BR","24.42","26.67","24.56","14.89","55.26","35.34","7days"
"chilgoza","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","281","B08P9SQ8RY","B01H8Y2VV6","0.21","0.00","0.00","0.00","0.00","0.00","7days"
"raisins 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","298","B07GR82XJR","B07GR82XJR","17.03","47.53","42.20","93.34","48.67","109.92","7days"
"black grapes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","307","B08HV6RK3J","B01LZH17BR","19.78","24.17","20.73","25.29","55.82","15.21","7days"
"happilo raisin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","310","B08JR78WB7","B01LZGVQV4","58.97","92.82","90.22","13.92","53.81","16.26","7days"
"black resins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","318","B07GQVNVV8","B01LZH17BR","26.39","23.88","20.59","19.16","55.38","0.00","7days"
"kishmish in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","346","B01LZGVQV4","B07GR3S1RR","20.65","38.19","36.68","13.04","4.90","0.00","7days"
"black raisin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","347","B08JR78WB7","B01LZH17BR","14.42","36.80","31.78","15.50","41.79","25.16","7days"
"kishmish 250 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","368","B01LZGVQV4","B07GRBFFMR","24.69","14.52","16.53","34.83","58.34","23.35","7days"
"kismis 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","377","B08VGDWJRM","B07GR82XJR","22.11","38.03","35.83","176.95","55.17","23.23","7days"
"kissmiss","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","383","B01LZGVQV4","B07GR3S1RR","16.30","31.37","32.12","6.81","21.80","0.00","7days"
"black raisins with seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","391","B08HV6RK3J","B01LZH17BR","17.15","13.92","10.79","94.42","41.99","25.13","7days"
"seedless black raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","420","B0758J6W7D","B08JR78WB7","22.38","37.01","31.81","10.69","53.13","0.00","7days"
"green raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","421","B01LZGVQV4","B08487YGZQ","25.47","45.85","41.69","31.52","52.31","15.88","7days"
"munakka 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","423","B07WC9K48P","B0758J6W7D","13.78","29.99","25.04","38.85","41.27","22.06","7days"
"rasins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","457","B06WVBRCJ4","B07GR3S1RR","18.88","0.00","0.00","0.00","0.00","0.00","7days"
"dry grapes 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","460","B08F498VV4","B08487YGZQ","22.09","26.23","23.54","19.79","56.87","0.00","7days"
"amazon fresh fruits and vegetables","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","468","B07GQVNVV8","B01LZGVQV4","28.53","23.10","16.12","32.68","20.91","0.00","7days"
